2004–	2004-
jursita	jurista
jursitta	juristta
jursittaid	juristtaid
jursittaiguin	juristtaiguin
justisministtariin	vuoigatvuođaministariin
justisministáriin	justisministariin
juvddálačcat	juvddálaččat
juvssahattin	juvssahahttin
jábme	jápme
jábmima	jápmima
jábmimii	jápmimii
jágaš	jagáš
jáhkasadjat	jahkásaččat
jáhkehahtte	jáhkehahtti
jáhkehahttevuođa	jáhkehahttivuođa
jáhkehahttimii	jáhkehahttái
jáhkehahttimiidda	jáhkehahttiide
jáhkemeahttun	jáhkkemeahttun
jáhkimis	jáhkkimis
jáhkkehahtti	jáhkehahtti
jáhkkimes	jáhkkimis
jáhkkásaš	jahkásaš
jáhká	jáhkká
jáhkásaš	jahkásaš
jánddur	jándor
jándoriii	jándorii
jápman	jápmán
jápmiid	jábmiid
jávohuvvaleimmet	jávohuvaleimmet
kahpihttal	kapihtal
kalkulatorain	kalkuláhtoriin
kampánjain	kampánjjain
kamuflasjebiktasa	kamuflášabiktasa
kamuflašebiktasa	kamuflášabiktasa
kanada	Kanada
kandake	Kandake
kantina	kantiina
kantinna	kantiinna
kanturhálddahuslaš	kánturhálddahuslaš
kapellana	kapellána
kapitala	kapitála
kapitalat	kapitálat
kapteaidná	kapteaidna
karantenai	karantenii
karnevál	karnevála
kategoria	kategoriija
kategoriaid	kategoriijaid
kategoriaidda	kategoriijaide
kiinnalaš	kiinnálaš
kinalaččaid	kiinnálaččaid
kinopremiere	kinopremieara
kirurgiijja	kirurgiija
klan	Klan
klasihkkalaš	klassihkalaš
klasihkkara	klassihkkára
klasihkkára	klassihkkára
klasihkkáriid	klassihkkáriid
klasihkkáriin	klassihkkáriin
klassihkkalaš	klassihkalaš
klassá	klássa
klassalanjaid	klássalanjaid
klistariidda	klisttariidda
kloakke	kloáhka
kloakkes	kloáhkas
kolloktiivageaseheapmi	kollektiivageaseheapmi
klostersierralobiŧ	klostersierralobit
klubbai	klubbii
klux	Klux
km2	km²
koarii	korrii
koarrii	korrii
kollektiivalaš	kollektiivvalaš
kollektiva	kollektiiva
komeanta	kommeanta
komenteret	kommenteret
komentáraid	kommentáraid
komentárat	kommentárat
kommentara	kommentára
komplementære	komplementára
kon-seartta	konseartta
konferanssa	konferánssa
konferanssas	konferánssas
konfermášuvdnii	konfirmašuvdnii
konferánasa	konferánsa
konferánsain	konferánssain
konferánssaig	konferánssaid
konfirmášuvnnat	konfirmašuvnnat
konsearttai	konsertii
konsentrašudvii	konsentrašuvdnii
konsešuvdnageatnegasvuodas	konsešuvdnageatnegasvuođas
kontorservice	Kontorservice
konulentii	konsulentii
konvenšuvnda	konvenšuvdna
konvešuvnna	konvenšuvnna
koordinahtor	koordináhtor
korajoavku	koarrajoavku
korrekuvraprográmma	korrekturprográmma
kr:uin	kr:iin
kreatiivalaččat	kreatiivvalaččat
kreatiivalaš	kreatiivvalaš
kreátiivvalaš	kreatiivvalaš
kriminallága	kriminálalága
kriminealla	kriminála
kristine	Kristine
kritihkkalaččat	kritihkalaččat
kritihkkalaš	kritihkalaš
kritihkkálaččat	kritihkalaččat
kritihkkálaš	kritihkalaš
kuffára	koaffara
kultivrii	kultuvrii
kulttorbálkášumi	kulturbálkkašumi
kulttorbálkášupmái	kulturbálkkašupmái
kultumuitolága	kulturmuitolága
kultumuitoláhka	kulturmuitoláhka
kultur	kultur-
kulturbálkášumi	kulturbálkkašumi
kulturbálkášupmi	kulturbálkkašupmi
kulturdepartementtii	kulturdepartementii
kulturfáladagaid	kulturfálaldagaid
kulturiesstivrejupmái	kulturiešstivrejupmái
kulturlonohus	kulturlonuhus
kulturministtarii	kulturministarii
kulturmuitorádi	kulturmuitoráđi
kulturmuitorádis	kulturmuitoráđis
kulturovdanbukima	kulturovdanbuktima
kulturpolitihkii	kulturpolitihkkii
kulturpolitihkkalaš	kulturpolitihkalaš
kulturpolitihkálaš	kulturpolitihkalaš
kulturrádi	kulturráđi
kulturskovla	kulturskuvla
kulturvii	kultuvrii
kulturvrra	kultuvrra
kultutmuitolága	kulturmuitolága
kultuviesuid	kulturviesuid
kultuvralaš	kultuvrralaš
kultuvrrai	kultuvrii
kultuvrraineasetguin	kultuvrraideasetguin
kultuvrrálaš	kultuvrralaš
kunddariidda	kundariidda
kunderat	kundarat
kunderiin	kundariin
kurša	kursa
kurššiide	kurssaide
kvadratmehtaris	kvadráhtamehteris
kveanasápmalaččat	kvenasápmelaččat
kvotaortnega	kvohtaortnega
kválitehta	kvalitehta
káfeja	kaféa
káfejás	kaféas
kákáo	kakáo
kámela	kamela
kánale	kanála
kánále	kanála
kápteaidna	kapteaidna
kárášjoga	Kárášjoga
kárášjogas	Kárášjogas
kárášjot	Kárášjoga
kátástrofa	katastrofa
káŋŋas	gátnos
l0	10
l00	100
l00.	100.
l000	1000
l000-rehkegin	1000-rehkegin
l@¡ga	lága
la	lea
lababui	lagabui
laboratiijaide	laboratoriaide
laboratora	laboratoria
laboratorat	laboratoriat
laddasa	lađđasa
laddasis	lađđasis
ladje	ládje
lagabot	lagabut
lagabuid	lagabui
lagamui	lagabui
lagan	lágan
lagasradio:idda	lagasradioide
lagi	lági
lagidit	lágidit
lagidivččii	lágidivččii
lagiin	lágiin
lagárievdeami	lágarievdadeami
lahkai	láhkai
lahkka	lahka
lahkkonišgoahtá	lahkonišgoahtá
lahkkosis	lahkosis
lahkosii	lahkosiidda
lahká	lahka
lahkái	láhkái
lahttendoaimmahaŧ	lahttendoaimmahat
lahttovuođašiehatadusa	lahttovuođašiehtadusa
lahttuguovttus	lahttuguovttos
lahttuguvttas	lahttuguovttos
lahttuid	láhttuid
lahttuide	láhttuide
lahttái	láhttái
lahtui	lahttui
laiguhit	láigohit
lantja	latnja
lasahus	lasáhus
lasahusa	lasáhusa
lasahusain	lasáhusain
lassana	lassána
lassaneami	lassáneami
lassaneapmi	lassáneapmi
lassanii	lassánii
lassanit	lassánit
lassiin	lassin
lassivaikkuhusat	lassiváikkuhusat
lasssin	lassin
lassánaan	lassánan
lassánán	lassánan
latenamerihkalaš	latenamerihkálaš
latinámeriikkalaš	latin-amerihkálaš
lavdnjegoađ	lavdnjegoađi
lave	láve
lavejit	lávejit
lavvu	lávvu
lašmmohallat	lášmmohallat
lašmohallanlatnja	lášmmohallanlatnja
leahkos	lehkos
leahttuin	leahtuin
leaikásii	leaikasii
leal	leat
leamin	leamen
leamáš	leamaš
leansmanbálvvat	leansmanbálvvát
leansmánnebálváide	leansmánnebálvváide
leavgastávrraide	leavgastávrráide
leavva	leavvá
leay	leai
leažža	leažžá
leažžago	leažžágo
leažžái	leaččai
leddje	ledje
leddjen	ledjen
lehtuin	leahtuin
leigge	leigga
leimma	leimme
lensmanbálvva	leansmanbálvvá
lensmanbálvvat	leansmanbálvvát
lensmankántuvrra	leansmankantuvrra
lensmanni	leansmánni
lestadalaš	lestadiánalaš
lestadialaš	lestadiánalaš
letnet	leat
letnot	leat
levdnjii	Levdnjii
lešgudet	iešguđet
lhkai	láhkái
lhkuhisvuođas	lihkuhisvuođas
lhábmemiidda	hábmemiidda
li	lei
libris	Libris
liekkusit	liggosit
lievvelis	lievvilis
ligo	iigo
lihkkastaga	lihkastaga
lihkkostuvvan	lihkostuvvan
lihkkostuvvat	lihkostuvvat
lihkomen	liikomen
lihkoshisvuođa	lihkohisvuođa
lihkostuvva	lihkostuvvá
lihkostuvvui	lihkostuvai
lihkulaš	lihkolaš
lihkustuvvui	lihkustuvai
lihkádišgohtet	lihkadišgohtet
lihtii	lihti
lihton	lihtton
lihttoláigolacca	lihttoláigolačča
lihtái	lihttái
liibbaidde	liibbaide
liiká	liikká
liinnii	liinni
linjja	linjjá
listtui	listui
listuin	listtuin
litnetselvánis	iešdieđáhusas
litnetšemaide	litnetšemáide
litná	litna
livcce	livčče
livccii	livččii
livkkehin	livkkihin
livkkehit	livkkihit
livnneteiseváldiide	livnneteiseválddiide
livzzavihki	livzávihki
livče	livčče
livčii	livččii
livččejit	livčče
livčči	livččii
livččiii	livččii
livččimet	livččiimet
loahpageahen	loahpageahčen
loahpahuvui	loahpahuvvui
loahpahuvvvon	loahpahuvvon
loahpajeddjiid	loahpaheddjiid
loahpalaccat	loahpalaččat
loahppačuokkislohku	loahppačuokkeslohku
loaččadet	loaččadit
lobalaččat	lobálaččat
lobalaš	lobálaš
lobalašvuođa	lobálašvuođa
lobalažžan	lobálažžan
loddejaddjit	loddejeaddjit
loddejeddjid	loddejeddjiid
loddevirusas	loddevirusis
loddiid	lottiid
logadallamis	logaldallamis
logadallat	logaldallat
logadalli	logaldalli
logadalliin	logaldalliin
logaldallamistis	logaldallamisttis
logenariid	logenáriid
logijahkásas	logijahkásaš
logái	logai
lohkká	lohká
lohknaválgastivrii	lohkanválgastivrii
lohkojuvvo	lohkkojuvvo
lohkágoahtit	lohkagoahtit
lohpadusaid	lohpádusaid
lohpaha	loahpaha
lohpet	lovpet
lohppida	lohpida
lohppidan	lohpidan
lohppidii	lohpidii
lohppidit	lohpidit
lohppit	lohpit
lohppádusastis	lohpádusastis
lojalitehttaruossalasvuođat	lojalitehtaruossalasvuođat
lojáliteahtta	lojaliteahtta
lokhkiide	lohkkiide
lonohit	lonuhit
losiidahttibehtet	losidahttibehtet
losiidahttit	losidahttit
lossimus	losimus
lotkatmeahttun	lotkkotmeahttun
lotnalasealáhusaid	lotnolasealáhusaid
lotnalassii	lotnolassii
lottibiepmu	loddebiepmu
lottideamet	lottiideamet
lottii	loddii
lottiratti	lotteratti
luhte	luhtte
luiohttevažžii	luohttevažžii
luitá	luoitá
lulabealde	lulábealde
lulas	lulás
lullebealla	lullebeallá
lullevuvddiide	lullivuvddiide
lulábeal	lulábealde
lummás	lummas
lunddolaccat	lunddolaččat
lunttáš	lunttaš
luohkaš	luohkáš
luohkkaráđi	luohkkáráđi
luohtamuš	luohttámuš
luohtamuša	luohttámuša
luohttamuš	luohttámuš
luohttamuša	luohttámuša
luohttehahtti	luohtehahtti
luoikká	luoiká
luoitigoahtet	luoitigoahtit
luonain	loanain
luonddat	lunttat
luonddolaččat	lunddolaččat
luonddolaš	lunddolaš
luonddubirásgáhttema	luonddubirasgáhttema
luonddugáhttensearrvi	luonddugáhttensearvi
luondduriggadagaid	luondduriggodagaid
luondduriggodaid	luondduriggodagaid
luonddutiipaide	luonddutiippaide
luondodoalu	luonddudoalu
luondohábmen	luondduhábmen
luopmaniid	luopmániid
luossanuohtiin	luossanuhtiin
luossačážádagaid	luossačázádagaid
luossobivdobáiki	luossabivdobáiki
lupmet	lubmet
luthera	Luthera
lutheránalaš	luhteránalaš
luvvešivčče	luvvešedje
luvvádan	luvvadan
lysningsblad	Lysningsblad
lysningsblađis	Lysningsbladas
lábmásat	lápmásat
lábmásiid	lápmásiid
láddagat	láttagat
láddagiid	láttagiid
láddeláččat	láddelaččat
ládjet	láddjet
ládjogittid	ládjogittiid
lágabui	lagabui
lágada	lágida
lágadus	lágádus
lágadusaid	lágádusaid
lágadusat	lágádusat
lágamus	lagamus
lágidanšiehtadusaŧ	lágidanšiehtadusat
lágidedjiin	lágideddjiin
lágiduvui	lágiduvvui
lágábuid	lagabui
lágáide	lágaide
láhcit	láhčit
láhča	láhčá
láhkaduopmostuluin	láhkaduopmostuoluin
láhkagirjjid	láhkagirjjiid
láhkariekteolbmáŧ	láhkariekteolbmát
láhkarievadusa	láhkarievdadusa
láhkarihkGon	láhkarihkkon
láhkavuodu	láhkavuođu
láhkavuoduin	láhkavuođuin
láhkonit	lahkonit
láhti	láhtti
láhtis	láhttis
láhttemiš	láhttemis
láhttuvuođa	lahttuvuođa
láhčat	láhčit
láibbiit	láibbiid
láiddomistis	láiddomisttis
láigogaskavuođaŧ	láigogaskavuođat
láigohanvuoigatvuoda	láigohanvuoigatvuođa
láigolacca	láigolačča
láigolihttoáigodaŧ	láigolihttoáigodat
láiguha	láigoha
láiguheapmi	láigoheapmi
láiguheapmái	láigoheapmái
láiguhit	láigohit
lásihuvvon	lasihuvvon
lássanit	lassánit
lássiváikuhusat	lassiváikkuhusat
lássánii	lassánii
láttieallimii	látteeallimii
láttiluondu	látteluondu
lávdefággá-dallama	lávdefággádallama
lávdegoddečoahkimat	lávdegoddečoahkkimat
lávdegottid	lávdegottiid
láved	láven
láviije	láveje
lávijeddje	lávejedje
lávijit	lávejit
lávllagat	lávlagat
lávostallemn	lávostallamin
lávvodradaga	lávvordaga
lávvárdaga	lávvardaga
lávžegeahčen	lávžegeažis
lášmmat	lášmat
ma..el	maŋŋel
ma..il	maŋŋil
ma..á	maŋŋá
maddái	maiddái
magihkkalaš	magihkalaš
mahcaheamen	máhcaheamen
mahcahit	máhcahit
mahcahuvvojit	máhcahuvvojit
mahccan	máhcan
mahccá	máhccá
mahccán	máhccán
mahka	mahká
mahkaš	mahkáš
mahtte	máhtte
maidde	maidda
maiddi	maiddái
maiddáid	maiddái
maidguin	maiguin
mailmmi	máilmmi
maimánus	máimánus
mainnašuvvo	máinnašuvvo
makkar	makkár
makkarge	makkárge
makkrge	makkárge
maksit	máksit
maksá	máksá
malistuvvo	málistuvvo
mangga	máŋgga
manjožassii	maŋážassii
manjásbahtii	maŋásbahtii
mannodaga	mánnodaga
mannágoahtá	mannagoahtá
mannálaš	mánnálaš
mannálaš:	mánnálaš:
maoriat	maorit
markkašumiide	mearkkašumiide
maskelaging	hámaidráhkadeapmi
massiimiidda	massimiidda
masttalmahtet	masttalmahttet
matematihkkár	matematihkar
materialat	materiálat
materialaš	materiálalaš
materialistalaš	materialisttalaš
materialstipeandda	materiálastipeandda
matriálalaš	materiálalaš
maursyra	gotkasivra
mavsse	mávsse
mađiiájaid	máđijaid
maŊimustá	maŋimustá
maŊŊá	maŋŋá
maŋabealde	maŋábealde
maŋga	máŋga
maŋge	mange
maŋgelágan	mangelágan
maŋgga	máŋgga
maŋggabealat	máŋggabealat
maŋggakultuvrralašvuođa	máŋggakultuvrralašvuođa
maŋggálágan	máŋggalágan
maŋilis	maŋŋelis
maŋius	maŋimus
maŋŋa	maŋŋá
maŋŋemus	maŋemus
maŋŋeseattii	maŋŋesehttii
maŋŋálágaid	maŋŋálagaid
mašenlogahahtti	mášenlogahahtti
meahcasteaddjiid	meahcásteddjiid
meahcasteami	meahcásteami
meahcasteapmái	meahcásteapmái
meahcce	meahcci
meahccedádjodeami	meahccedádjadeami
meahcceluoddaláhkaásahuš	meahcceluoddaláhkaásahus
meahccesteami	meahcásteami
meahccevalljiid	meahccevaljiid
meahcceveahkkebargikurššas	meahcceveahkkebargikurssas
meahccčái	meahccái
meahceallit	meahcieallit
meahcelliid	meahcielliid
meahciš	meahcis
meahcásteapmai	meahcásteapmái
meakkašupmi	mearkkašupmi
meannudandagaldumiŧ	meannudandagaldumit
meannudaproseassa	meannudanproseassa
meannudovvon	meannuduvvon
meannuduvui	meannuduvvui
mearabeal	mearabeale
mearabela	mearabeale
mearariikkii	mearariikii
mearekkaša	mearkkaša
mearkaša	mearkkaša
mearkašahtti	mearkkašahtti
mearkkašatti	mearkkašahtti
mearkkašeamiid	mearkkašemiid
mearkkašá	mearkkaša
mearradusa	mearrádusa
mearradusaide	mearrádusaide
mearragátiis	mearragáttis
mearrdeapmi	mearrideapmi
mearrekeahtes	mearritkeahtes
mearridanválddáláš	mearridanválddálaš
mearridanválldi	mearridanválddi
mearridiii	mearridii
mearridusaid	mearrádusaid
mearriduvo	mearriduvvo
mearriduvui	mearriduvvui
mearridán	mearridan
mearrri	mearri
mearrádusaŧ	mearrádusat
mearrádussi	mearrádussii
mearás	mearas
measat	measta
meatta	meattá
meattáhusaind	meattáhusaid
meađđimiid	meađđemiid
mediafáladaga	mediafálaldaga
mediaidde	mediaide
mediebearráigeahčču	mediabearráigeahčču
medieguovddáža	mediaguovddáža
mehcasdallamii	meahcástallamii
meieridjii	meieriijii
meieriiain	meieriijain
meilas	mielas
meilde	mielde
meksikanalaš	meksikánalaš
meluvdna	melovdna
meluvnna	melovnna
mendo	menddo
meningokokk	meningokokka
merkkaša	mearkkaša
merkkašumit	mearkkašumit
merkkašupmi	mearkkašupmi
merošteamiid	meroštemiid
metara	mehtera
metállaŧ	metállat
meárrádusain	mearrádusain
mi	mii
middjiide	midjiide
midjide	midjiide
midjiidda	midjiide
miediha	mieđiha
miedihit	mieđihit
miehttá	miehtá
mielaevttoŧ	mielaevttot
mieldddisbuktá	mielddisbuktá
mieldde	mielde
mielddis-buktá	mielddisbuktá
mielddisbukta	mielddisbuktá
mielddisttis	mielddis
mieldebargiid	mielbargiid
mieldebargit	mielbargit
mielderuhtaduvvon	mielruhtaduvvon
mieldisbuktá	mielddisbuktá
miellagiddevašat	miellagiddevaččat
miellahtto-vuohta	miellahttovuohta
miellahttoservviides	miellahttoservviidis
miellahttuid	miellahtuid
miellahttuin	miellahtuin
miellahttut	miellahtut
miellahtučoahkima	miellahtučoahkkima
miellačájeheamiŧ	miellačájeheamit
miellegiddevaš	miellagiddevaš
miellgiddevažžii	miellagiddevažžii
mielláhttuvuođa	miellahttovuođa
mien	min
miennudanvuogi	meannudanvuogi
mierka	mearka
miestamáddágii	miesttamáddagii
miettá	miehtá
mieáđiheamiin	mieđihemiin
mieđihuvui	mieđihuvvui
mieđihuvvoŧ	mieđihuvvot
mieđušteddjái	mieđušteaddjái
miha	mihá
mihke	mihkke
mihkege	mihkkege
mihttolávvai	mihttolávvái
mihtádusvuoigatvuodaid	mihtádusvuoigatvuođaid
mihtádusvuoigatvuodat	mihtádusvuoigatvuođat
miidjiide	midjiide
miiguin	minguin
miin	min
miirkobálvalusa	mirkobálvalusa
mijovnna	miljovnna
mildosin	mielddusin
milii	millii
milijuvdnii	miljovdnii
milijuvnna	miljovnna
militanta	militánta
militearbálvalusas	militearabálvalusas
militærfievrruid	militearafievrruid
miljardda	miljárdda
miljona	miljon
miljovnaid	miljovnnaid
miljovnno	miljovnna
miljovvna	miljovnna
miljuneara	miljoneara
miljuvdna	miljovdna
miljuvdnii	miljovdnii
miljuvnna	miljovnna
miljuvnnas	miljovnnas
milliarda	miljárda
milliardda	miljárdda
millijon	miljon
millijunearan	miljonearan
millijunhaddái	miljonhaddái
milliovnna	miljovnna
milliárda	miljárda
milliárdda	miljárdda
milljon	miljon
milljovnna	miljovnna
milljovnnaid	miljovnnaid
milljuneara	miljoneara
milljuvnna	miljovnna
minerálliiggiŧ	minerálaliiggit
minerálvuoigatvuodaid	minerálavuoigatvuođaid
minerálvuoigatvuodat	minerálavuoigatvuođat
ministtara	ministara
ministtarat	ministarat
ministtariid	ministariid
minsttariid	minstariid
minuvttasaš	minuktasaš
mišunbáhtii	miššunbáhti
mksit	máksit
moaddeloht	moaddelot
moaddečuohte	moaddečuohti
moadede	moadde
moaitágiid	moaitagiid
moarssi	moarsi
moarssis	moarsis
moatit	moaitit
moatte	moatti
mobilanjuovahagaid	mobiilanjuovahagaid
moddji	modji
modellaid	modeallaid
modjá	moddjá
mohkástit	mohkastit
moht	mot
mohtotjohtolatlágaid	mohtorjohtolatlágaid
moitii	moittii
mokte	moktege
moktá	mokta
molssašumi	molsašumi
molssašupmi	molsašupmi
molssoevttolaš	molssaevttolaš
monnebavtti	monnebávtti
morašii	morrašii
morideapmi	moriheapmi
moridit	morihit
morráná	morrána
morssiide	morsiide
motabiktasiid	motebiktasiid
motorkluppat	mohtorkluppat
motroralažžii	motoralažžii
movtiideami	movttiideami
movttaskit	movttáskit
movttege	moktege
movttida	movttiida
movttidahtán	movttiidahtán
movttideapmi	movttiideapmi
movttidit	movttiidit
movttidivčče	movttiidivčče
movttiidahtit	movttiidahttit
movttiidahttášii	movttiidahtášii
movttáskán	movttáskan
muddenfápmudusaŧ	muddenfápmudusat
muddenvuogádaŧ	muddenvuogádat
mudui	muđui
muhkiid	muhkkiid
muht	muhto
muhtehahtti	muhtihahtti
muhtiimiiguin	muhtimiiguin
muhtim	muhtin
muhtinat	muhtimat
muhtinlagan	muhtinlágan
muhtp	muhto
muhtu	muhto
muinne	munnje
muitaleamuš	muitaleamoš
muitalá	muitala
muitovuođđodus	muitovuođđudus
muittan	muittán
muittoha	muittuha
muittuihit	muittuhit
muitála	muitala
muitálus	muitalus
munje	munnje
munnuidda	munnuide
munnus	munnos
muohtaskohterreagaŧ	muohtaskohterreagat
muorjedatnjasat	muorjedakŋasat
muorjegivlmiin	muorjegilvimiin
muorra-dáida	muorradáidda
muorrasládja	muorrašládja
muorraávnnasgávpašeaddjiid	muorraávnnasgávppašeddjiid
muosahan	muosáhan
muosehuttimiid	muosehuhttimiid
muossá	muoŧŧá
muoŧŧa	muoŧŧá
musihkara	musihkkara
musihkarat	musihkkarat
musihkariid	musihkkariid
musihkáriin	musihkkáriin
musihkii	musihkkii
musihkkaelementtaid	musihkkaelemeanttaid
musihkkafeastiválai	musihkkafestiválii
musihkárat	musihkkárat
musihkáriid	musihkkáriid
musikalalaš	musihkalaš
mutnos	munnos
muttagis	muttágis
mutto	muttu
muttorfievrruiguin	mohtorfievrruiguin
muttorfievrruin	mohtorfievrruin
muttorjohtolat	muhtorjohtolat
muttorjohtolatlága	mohtorjohtolatlága
muttorjohtolatláhka	mohtorjohtolatláhka
mytologia	mytologiija
má-náidfestiválain	mánáidfestiválain
má.ga	máŋga
má.ggalágán	máŋggalágán
mádjihaŧ	mádjigat
mággabealát	máŋggabealat
máhcá	máhca
máhcástat	máhcastat
máhtolašuvohta	máhtolašvuohta
máhtolašuvođain	máhtolašvuođain
máhttajeddjiidisguin	máhttájeddjiidisguin
máhtuit	máhtuid
máhtet	máhttet
máibmái	máilbmái
máidege	maidege
máidnasit	máidnasiid
máiguin	maiguin
máilbme	máilmme
máilbmedássásaš	máilmmidássásaš
máilm-mis	máilmmis
máilmmes	máilmmis
máimmesoađi	máilmmisoađi
máimmis	máilmmis
máinnasmáilmmes	máinnasmáilmmis
máinnašveara	máinnašanveara
máinnosteavsttaid	máinnusteavsttaid
máistejin	máisten
mákkar	makkár
mákkarge	makkárge
mákkár	makkár
mákkárge	makkárge
máksa	máksá
máksimiida	máksimiidda
máktoštit	mátkkoštit
mállide	málliide
málmmi	máilmmi
málmmis	máilmmis
mánaid	mánáid
mánain	mánáin
mánga	máŋga
mángga	máŋgga
mánggafearggat	máŋggafearggat
mánggaid	máŋggaid
mánggain	máŋggain
mánggalágáš	máŋggalágáš
mánggalágáš:	máŋggalágáš:
mánggas	máŋggas
mánggat	máŋggat
mángii	máŋgii
mánjit	maŋit
mánnod.	mán
mánnáseanggas	mánnáseaŋggas
mánoheahpe	mánoheahpi
mánáidguin	mánáiguin
mánáidgárde	mánáidgárdi
mánáidruoktoášši	mánáidruovttuášši
mánáidsoadjalusa	mánáidsuodjalusa
mánáidsoadjalusas	mánáidsuodjalusas
mánáidsoadjalusbálvalusas	mánáidsuodjalusbálvalusas
mánáidsodjalusas	mánáidsuodjalusas
mánáigárddi	mánáidgárddi
mánáiskuvlla	mánáidskuvlla
máret	Máret
márfebuoieldit	márfebuoiddit
márkafievrredeapmi	márkanfievrredeapmi
márkanasttit	márkanastit
márkanfievredeapmái	márkanfievrredeapmái
márkanfievrredit	márkanfievrridit
márkanšiljui	márkanšilljui
márkanšilljus	márkanšiljus
márkasámit	márkosámit
márkkan	márkan
márkkes	márkkis
márreŧ	márret
márskku	márškku
márškkulaš	márškkolaš
mát	mat
mátkai	mátkái
mátkii	mátki
mátkiid	mátkkiid
mátkiide	mátkkiide
mátkiin	mátkkiin
mátkit	mátkkit
mátkkiinistis	mátkkiinis
mátkkošteamiin	mátkkoštemiin
mátkoštanealáhusa	mátkkoštanealáhusa
mátkoštit	mátkkoštit
máttabeal	máttabealde
máttá	mátta
máttárváhnemis	máttarváhnemis
máttásámi	máttasámi
mávssolaccat	mávssolaččat
máđe	mađe
máđiijá	máđija
máđiijáid	máđijaid
máŋemus	maŋemus
máŋemuš	maŋemuš
máŋgag	máŋgga
máŋgakultuvrralaš	máŋggakultuvrralaš
máŋgaloht	máŋgalot
máŋgalágan	máŋggalágan
máŋgačuohte	máŋgačuohti
máŋggabealaŧ	máŋggabealat
máŋggabealát	máŋggabealat
máŋggalágáan	máŋggalágán
máŋggasuoraŧ	máŋggasuorat
máŋggasuorggát	máŋggasuorggat
máŋgglágan	máŋggalágan
máŋggás	máŋggas
máŋggát	máŋgga
máŋgi	máŋgii
máŋiduvvon	maŋiduvvon
máŋimus	maŋimus
máŋimuš	maŋimuš
máŋŋebargga	maŋŋebárgga
máŋŋebárgga	maŋŋebárgga
máŋŋel	maŋŋel
máŋŋil	maŋŋil
máŋŋonan	maŋŋonan
máŋŋá	maŋŋá
mášuheapme	mášoheapme
n.g.	ng.
nade	nalde
nagirčalbmiid	nagirčalmmiid
nagodi	nagodii
nagudan	nagodan
nagudit	nagodit
nagut	nagot
nahkarat	nahkárat
nahkariid	nahkáriid
nahkkeseahka	náhkkeseahka
naittosguoimmis	náittosguoimmis
nalá	nala
namadeamis	nammadeamis
namakeahttá	namatkeahttá
namalasii	namalassii
namalassi	namalassii
namhuvvon	namahuvvon
nammadadan	nammadan
nammakonsu-leantabálvalusa	nammakonsuleantabálvalusa
nammamearkkaguin	nammamearkkaiguin
nammasas	nammasaš
nammidahkii	nammejahkii
nammá	namma
nammádeapmi	nammadeapmi
nammásaš	nammasaš
namuhasttet	namuhastit
namuhuvvodedje	namuhuvvojedje
namukeahttá	namutkeahttá
namáid	namaid
namás	namas
nannamii	nannámii
nannamis	nannámis
nannan	nannán
nannejiŧ	nannejit
nannesivččii	nannešii
nanneuvvo	nannejuvvo
narkitihkka	narkotihkka
narkotihkká	narkotihkka
nautálaš	nautalaš
navdan	navdán
navdii	navddii
navvala	navvála
našunala	našunála
našunalbeaivi	našunálabeaivi
našunálpárkavávtta	našunálapárkavávtta
našunálpárkka	našunálapárkka
našuvnda	našuvdna
neahttasiiduid	neahttasiidduid
neahttaáksiovnnas	neahttaakšuvnnas
neaktarat	neaktárat
nealge	nealgi
nealggušii	nelggošii
nealljejuvlla	njealjejuvllat
nearriduvvon	mearriduvvon
neavt-tár	neavttár
neavttar	neavttár
neavttarat	neavttárat
neavttariid	neavttáriid
neavttariidda	neavttáriidda
neavttariiguin	neavttáriiguin
neavui	neavvui
neavuide	neavvuide
nejalját	njealját
nenentsar	nenetsa
nguo	nugo
niedafearánat	nieidafearánat
niedda	nieidda
nieddaguovttos	nieiddaguovttos
nieddat	nieiddat
nieddaš	nieiddaš
niehkko	niehku
niehko	niehku
nieidaskihpariin	nieidaskihpáriin
nieidasáhpanat	nieidasáhpánat
nieiddážiin	nieiddažiin
nielddus	mielddus
nihkela	nihkkela
nihtojuvvo	nihttojuvvo
nihtá	nihttá
nii	nie
niibbii	niibbiid
nisonkonferansa	nisokonferánsa
nisosnolmmoš	nissonolmmoš
nissongávppošeapmi	nissongávppašeapmi
nissoniida	nissoniidda
nissoniiin	nissoniin
nissonkonferansa	nissonkonferánsa
nissonkonferánsaid	nissonkonferánssaid
nissonnat	nissonat
nissonolbmoid	nissonolbmuid
nissonolbmoin	nissonolbmuin
nissonstrategiijjat	nissonstrategiijat
nissuŧ	nissut
nit	maid
njahcu	njáhcu
njealastit	njielastit
njealjadaskilomehtera	njealjádaskilomehtera
njealje	njealji
njealjes	njealjis
njealječihkii	njeallječihkii
njealjje	njeallje
njealjji	njealji
njealjjis	njealjis
njealjját	njealját
njealjása	njealljása
njealjásis	njealljásis
njealljegoalmmatlohkái	njealljegoalmmátlohkái
njealljejahkásaš	njealjejahkásaš
njealljejahkáš	njealjejahkásaš
njealljejuolggat	njealjejuolggat
njeallji	njeallje
njealljii	njealji
njealljis	njealjis
njealljádas	njealjádas
njealljádasoassi	njealjádasoassi
njealljádin	njealjádin
njeallját	njealját
njieiga	njeaiga
njieđai	njiejai
njinnjelasat	njiŋŋelasat
